# Relics & Item Drop Locations
FORMAT: Relics by ## Era Name, ### Refinement State with reward tables. Mod/Blueprint locations: ## Item Name with enemy tables showing drop %.
INDEX: Void Relics (756 entries) | Mod Drop Locations (648 entries) | Blueprint Drop Locations (179 entries)

# Void Relics
Complete relic drop table. Each relic lists its tier (Lith/Meso/Neo/Axi), refinement state, and all possible rewards with drop chances by rarity (Common, Uncommon, Rare).

## Axi A1
### Intact
| Reward | Rarity | Chance |
| Sikula | 3.00% | Legendary | 0.67% |
| Deimos Venin Mutalist | 3.00% | Legendary | 0.67% |
| Narmer Mine Osprey | 3.00% | Legendary | 0.67% |
| Scrofa Shield Osprey | 5.00% | Legendary | 0.67% |
| Scrofa Shield Osprey | 20.00% | Legendary | 0.67% |
| Scrofa Mine Osprey | 3.00% | Legendary | 0.67% |
| Terra Attack Drone | 5.00% | Legendary | 0.67% |
| Terra Attack Drone | 20.00% | Legendary | 0.67% |
| Terra Shield Osprey | 5.00% | Legendary | 0.67% |
| Terra Shield Osprey | 20.00% | Legendary | 0.67% |
| Terra Oxium Osprey | 5.00% | Legendary | 0.67% |
| Terra Oxium Osprey | 20.00% | Legendary | 0.67% |
| Primm | 5.00% | Legendary | 0.67% |
| Verd-Ie | 5.00% | Legendary | 0.67% |

## Breach Loader
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Gantulyst | 100.00% | Legendary | 0.84% |

## Arcane Battery
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Sister Of Parvos (Ascension Hard Mode) | 100.00% | Uncommon | 20.00% |
| Sister Of Parvos (Ascension Mode) | 33.00% | Uncommon | 20.00% |

## Spinning Needle
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Zealoid Prelate | 100.00% | Rare | 2.78% |
| Wolf Of Saturn Six | 100.00% | Rare | 2.78% |
| Leaper | 3.00% | Rare | 1.01% |
| Deimos Leaper | 3.00% | Rare | 1.01% |

## Hok-Kaal
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Anarch Grineer Trapper | 0.50% | Common | 33.33% |
| Anarch Capsarii | 0.50% | Common | 33.33% |
| Anarch Tenebra | 0.50% | Common | 33.33% |

## Contagious Spread
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Electric Crawler | 3.00% | Rare | 5.53% |
| Scavenger Drone | 3.00% | Uncommon | 11.28% |
| Narmer Scavenger Drone | 3.00% | Uncommon | 11.28% |

## Insulation
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Tusk Napalm | 3.00% | Uncommon | 25.29% |
| Kuva Napalm | 3.00% | Uncommon | 25.29% |
| Napalm | 3.00% | Uncommon | 25.29% |
| Narmer Napalm | 3.00% | Uncommon | 25.29% |

## Master Thief
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Kuva Scorpion | 3.00% | Rare | 1.01% |
| Ghoul Expired | 20.00% | Rare | 1.01% |
| Infested Mesa | 3.00% | Uncommon | 20.00% |
| Scorpion | 3.00% | Rare | 1.01% |
| Tenno Specter | 3.00% | Uncommon | 20.00% |
| Narmer Scorpion | 3.00% | Rare | 1.01% |
| Kuva Lich Agor Rok (Level 80 - 100) | 3.00% | Rare | 1.67% |
| Icemire Hyena | 10.00% | Legendary | 0.60% |
| Rabbleback Hyena | 10.00% | Legendary | 0.60% |
| Gyre Hyena | 10.00% | Legendary | 0.60% |
| Cinderthresh Hyena | 10.00% | Legendary | 0.60% |
| Chroma | 3.00% | Uncommon | 20.00% |
| Commandeered Ember Prime | 3.00% | Uncommon | 20.00% |
| Commandeered Protea Prime | 3.00% | Uncommon | 20.00% |
| Commandeered Trinity Prime | 3.00% | Uncommon | 20.00% |

## Natural Talent
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Vem Tabook | 25.00% | Uncommon | 20.00% |
| Leekter | 50.00% | Uncommon | 20.00% |
| Shik Tal | 50.00% | Uncommon | 20.00% |

## Toxin Resistance
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Nox | 3.00% | Rare | 7.52% |

## Mobilize
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Drekar Elite Lancer | 3.00% | Rare | 7.37% |
| Drekar Lancer | 3.00% | Rare | 7.37% |

## Necramech Enemy Sense
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Deimos Jugulus Rex | 100.00% | Uncommon | 18.97% |

## Critical Focus
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Exo Butcher | 5.00% | Rare | 1.68% |
| Exo Elite Lancer | 5.00% | Rare | 1.68% |
| Exo Roller Sentry | 5.00% | Rare | 1.68% |

## Secondary Fortifier
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Sister Of Parvos (Ascension Hard Mode) | 100.00% | Uncommon | 20.00% |
| Sister Of Parvos (Ascension Mode) | 33.00% | Uncommon | 20.00% |

## Arcane Avenger
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Hydrolyst (Special) | 100.00% | Uncommon | 11.24% |
| Eidolon Hydrolyst | 100.00% | Uncommon | 11.70% |

## Rebound
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Lephantis | 100.00% | Common | 37.94% |

## Form Up
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Orm Gox | 15.00% | Rare | 5.56% |
| Axio Gox | 15.00% | Rare | 3.46% |
| Vorac Gox | 15.00% | Rare | 3.16% |
| Elite Exo Outrider | 15.00% | Rare | 6.35% |
| Exo Outrider | 15.00% | Rare | 6.35% |
| Elite Kosma Outrider | 15.00% | Rare | 3.16% |
| Kosma Outrider | 15.00% | Rare | 3.16% |
| Elite Gyre Outrider | 15.00% | Rare | 4.10% |
| Gyre Outrider | 15.00% | Rare | 4.10% |

## Strafing Slide
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Brachiolyst Disperser | 5.00% | Rare | 1.67% |
| Erra | 25.00% | Rare | 1.67% |
| Brachiolyst | 5.00% | Rare | 1.67% |
| Tyro Conculyst | 25.00% | Rare | 1.67% |
| Symbilyst | 25.00% | Rare | 1.67% |
| Battalyst | 25.00% | Rare | 1.67% |
| Decaying Battalyst | 25.00% | Rare | 1.67% |

## Flechette
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Tusk Shield Lancer | 3.00% | Uncommon | 25.29% |
| Kuva Shield Lancer | 3.00% | Uncommon | 25.29% |
| Shield Lancer | 3.00% | Uncommon | 25.29% |
| Brood Mother | 3.00% | Uncommon | 25.29% |
| Ancient Disruptor | 3.00% | Uncommon | 25.29% |
| Tar Mutalist Moa | 3.00% | Uncommon | 25.29% |
| Deimos Therid | 3.00% | Uncommon | 25.29% |
| Deimos Brood Mother | 3.00% | Uncommon | 25.29% |
| Narmer Shield Lancer | 3.00% | Uncommon | 25.29% |

## Predator
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Elite Axio Basilisk | 15.00% | Rare | 9.24% |
| Axio Basilisk | 15.00% | Rare | 5.53% |
| Elite Taro Weaver | 15.00% | Rare | 9.24% |
| Taro Weaver | 15.00% | Uncommon | 22.92% |
| Elite Kosma Flak | 15.00% | Rare | 9.24% |
| Kosma Flak | 15.00% | Rare | 5.53% |
| Elite Kosma Cutter | 15.00% | Uncommon | 12.32% |
| Kosma Cutter | 15.00% | Uncommon | 22.92% |

## Arcane Healing
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Teralyst (Special) | 100.00% | Rare | 6.02% |

## Empowered Blades
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Feyarch Specter | 100.00% | Rare | 6.06% |

## System Reroute
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Tusk Shield Dargyn | 12.50% | Rare | 2.01% |
| Tusk Dargyn | 12.50% | Rare | 2.01% |
| Tusk Command Dargyn | 12.50% | Rare | 2.01% |
| Uncommon Corpus Storage Container | 5.00% | Rare | 2.01% |
| Ogma | 25.00% | Rare | 1.01% |
| Kuva Dargyn | 12.50% | Rare | 2.01% |
| Common Grineer Storage Container | 5.00% | Rare | 2.01% |
| Uncommon Grineer Storage Container | 5.00% | Rare | 2.01% |
| Hellion Dargyn | 12.50% | Rare | 2.01% |
| Orokin Storage Container | 5.00% | Rare | 2.01% |
| Rare Corpus Storage Container | 7.50% | Rare | 2.01% |
| Rare Grineer Storage Container | 7.50% | Rare | 2.01% |
| Rare Orokin Storage Container | 5.00% | Rare | 2.01% |
| Reinforced Grineer Storage Container | 10.00% | Rare | 2.01% |
| Reinforced Orokin Storage Container | 5.00% | Rare | 2.01% |
| Gyre Gokstad Officer | 5.00% | Rare | 1.75% |
| Gyre Gokstad Pilot | 5.00% | Rare | 1.75% |
| Gyre Roller Sentry | 5.00% | Rare | 1.75% |
| Nascent Membroid | 5.00% | Rare | 2.01% |
| Mature Membroid | 5.00% | Rare | 2.01% |
| Apex Membroid | 5.00% | Rare | 2.01% |
| Juvenile Membroid | 5.00% | Rare | 2.01% |

## Arcane Momentum
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Teralyst (Special) | 100.00% | Uncommon | 12.05% |
| Eidolon Teralyst | 100.00% | Uncommon | 14.95% |

## Tether Grenades
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Ved Xol | 10.00% | Uncommon | 12.50% |
| Nako Xol | 10.00% | Uncommon | 12.50% |
| Pelna Cade | 10.00% | Uncommon | 12.50% |
| Lockjaw & Sol | 10.00% | Uncommon | 12.50% |
| Jad Teran | 10.00% | Uncommon | 12.50% |
| Azoth | 10.00% | Uncommon | 12.50% |
| Raptor Rx | 10.00% | Uncommon | 12.50% |
| Auditor | 10.00% | Uncommon | 12.50% |
| Jen Dro | 10.00% | Uncommon | 12.50% |
| Derim Zahn | 10.00% | Uncommon | 12.50% |
| M-W.A.M. | 10.00% | Uncommon | 12.50% |
| Tia Mayn | 10.00% | Uncommon | 12.50% |
| Armis Ulta | 10.00% | Uncommon | 12.50% |
| Dru Pesfor | 10.00% | Uncommon | 12.50% |
| Rana Del | 10.00% | Uncommon | 12.50% |
| 002-Er | 10.00% | Uncommon | 12.50% |

## Arcane Rage
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Hydrolyst (Special) | 100.00% | Uncommon | 12.74% |
| Eidolon Hydrolyst | 100.00% | Uncommon | 13.76% |

## Reach
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Vapos Crewman | 3.00% | Uncommon | 25.29% |
| Taro Crewman | 3.00% | Uncommon | 25.29% |
| Aurax Atloc Raknoid | 10.00% | Common | 37.94% |
| Orm Crewman | 3.00% | Uncommon | 25.29% |
| Axio Crewman | 3.00% | Uncommon | 25.29% |
| Vorac Crewman | 3.00% | Uncommon | 25.29% |
| Corrupted Power Carrier | 3.00% | Uncommon | 25.29% |
| Orphid Husks | 3.00% | Uncommon | 25.29% |
| Nightwatch Carrier | 3.00% | Uncommon | 25.29% |
| Terra Jackal | 20.00% | Common | 37.94% |
| Eidolon Vomvalyst | 5.00% | Uncommon | 25.29% |
| Mutalist Osprey Carrier | 3.00% | Uncommon | 25.29% |
| Corpus Power Carrier | 3.00% | Uncommon | 25.29% |
| Kuva Hellion Carrier | 3.00% | Uncommon | 25.29% |
| Kuva Power Carrier | 3.00% | Uncommon | 25.29% |
| Hellion Power Carrier | 3.00% | Uncommon | 25.29% |
| Hellion Power Carrier | 25.00% | Uncommon | 25.29% |
| Grineer Power Carrier | 3.00% | Uncommon | 25.29% |
| Volatile Runner | 3.00% | Uncommon | 25.29% |
| Jackal | 20.00% | Common | 37.94% |
| Raptor | 100.00% | Common | 37.94% |
| Raptor Mt | 5.00% | Common | 37.94% |
| Raptor Rv | 5.00% | Common | 37.94% |
| Raptor Ns | 5.00% | Common | 37.94% |
| Crewman | 3.00% | Uncommon | 25.29% |
| Deimos Mutalist Osprey Carrier | 3.00% | Uncommon | 25.29% |
| Deimos Runner | 3.00% | Uncommon | 25.29% |
| Narmer Mite | 10.00% | Common | 37.94% |
| Narmer Power Carrier | 3.00% | Uncommon | 25.29% |
| Narmer Crewman | 3.00% | Uncommon | 25.29% |
| Narmer Raknoid | 10.00% | Common | 37.94% |
| Scrofa Drover Bursa | 20.00% | Common | 37.94% |
| Scrofa Joro Raknoid | 10.00% | Common | 37.94% |
| Scrofa Attack Drone | 20.00% | Common | 37.94% |
| Scrofa Obviator | 3.00% | Uncommon | 25.29% |
| Syzygy Attack Drone | 20.00% | Common | 37.94% |
| Syzygy Mite Raknoid | 10.00% | Common | 37.94% |
| Scrofa Laser Moa | 10.00% | Common | 37.94% |
| Scrofa Laser Moa | 20.00% | Common | 37.94% |
| Scrofa Mite Raknoid | 10.00% | Common | 37.94% |
| Scrofa Lythrum Raknoid | 10.00% | Common | 37.94% |
| Scrofa Latro Raknoid | 30.00% | Common | 38.72% |
| Scrofa Railgun Moa | 10.00% | Common | 37.94% |
| Scrofa Railgun Moa | 20.00% | Common | 37.94% |
| Coolant Raknoid | 30.00% | Common | 38.72% |
| Scyto Raknoid | 10.00% | Common | 37.94% |
| Mite Raknoid | 10.00% | Common | 37.94% |
| Terra Ambulas | 20.00% | Common | 37.94% |
| Terra Raptor Sx | 20.00% | Common | 37.94% |
| Terra Elite Raptor Sx | 20.00% | Common | 37.94% |
| Terra Embattor Moa | 20.00% | Common | 37.94% |
| Terra Elite Embattor Moa | 20.00% | Common | 37.94% |
| Terra Moa | 10.00% | Common | 37.94% |
| Terra Moa | 20.00% | Common | 37.94% |
| Terra Anti Moa | 10.00% | Common | 37.94% |
| Terra Anti Moa | 20.00% | Common | 37.94% |
| Terra Railgun Moa | 10.00% | Common | 37.94% |
| Terra Railgun Moa | 20.00% | Common | 37.94% |
| Terra Shockwave Moa | 10.00% | Common | 37.94% |
| Terra Shockwave Moa | 20.00% | Common | 37.94% |
| Kyta Raknoid | 10.00% | Common | 37.94% |
| Narmer Scyto Raknoid | 10.00% | Common | 37.94% |
| Profit-Taker | 100.00% | Uncommon | 14.10% |

## Arcane Nullifier
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Teralyst (Special) | 100.00% | Uncommon | 12.05% |
| Eidolon Teralyst | 100.00% | Uncommon | 14.95% |

## Necramech Blitz
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Necramech (Tier 2) | 15.00% | Uncommon | 25.29% |

## Jagged Edge
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Vapos Elite Crewman | 3.00% | Legendary | 0.67% |
| Taro Elite Crewman | 3.00% | Legendary | 0.67% |
| Orm Elite Crewman | 3.00% | Legendary | 0.67% |
| Axio Elite Crewman | 3.00% | Legendary | 0.67% |
| Vorac Elite Crewman | 3.00% | Legendary | 0.67% |
| Machinist | 3.00% | Legendary | 0.67% |
| Corpus Power Carrier | 5.00% | Legendary | 0.97% |
| Elite Crewman | 3.00% | Legendary | 0.67% |
| Nul Comba | 5.00% | Legendary | 0.50% |
| Sap Comba | 5.00% | Legendary | 0.50% |
| Slo Comba | 5.00% | Legendary | 0.50% |
| Fog Comba | 5.00% | Legendary | 0.50% |
| Narmer Elite Crewman | 3.00% | Legendary | 0.67% |
| Narmer Machinist | 3.00% | Legendary | 0.67% |
| Scrofa Crewman | 5.00% | Legendary | 0.50% |
| Scrofa Crewman | 20.00% | Legendary | 0.50% |
| Scrofa Elite Crewman | 5.00% | Legendary | 0.50% |
| Syzygy Sniper Ranger | 5.00% | Legendary | 0.50% |
| Syzygy Sniper Ranger | 20.00% | Legendary | 0.50% |
| Syzygy Prod Crewman | 5.00% | Legendary | 0.50% |
| Syzygy Prod Crewman | 20.00% | Legendary | 0.50% |
| Scrofa Grenadier Crewman | 5.00% | Legendary | 0.50% |
| Scrofa Plasmor Crewman | 5.00% | Legendary | 0.50% |
| Scrofa Plasmor Crewman | 20.00% | Legendary | 0.50% |
| Scrofa Sniper Ranger | 5.00% | Legendary | 0.50% |
| Scrofa Sniper Ranger | 20.00% | Legendary | 0.50% |
| Terra Detron Crewman | 5.00% | Legendary | 0.50% |
| Terra Research Crewman | 5.00% | Legendary | 0.50% |
| Terra Elite Crewman | 5.00% | Legendary | 0.50% |
| Terra Crewman | 5.00% | Legendary | 0.50% |
| Terra Crewman | 20.00% | Legendary | 0.50% |
| Terra Plasmor Crewman | 5.00% | Legendary | 0.50% |
| Terra Plasmor Crewman | 20.00% | Legendary | 0.50% |
| Terra Sniper Crewman | 5.00% | Legendary | 0.50% |
| Terra Sniper Crewman | 20.00% | Legendary | 0.50% |
| Orb Vallis - Spaceport Enemies | 5.00% | Legendary | 0.94% |

## Arcane Deflection
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Teralyst (Special) | 100.00% | Rare | 6.02% |

## Arcane Precision
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Gantulyst (Special) | 100.00% | Rare | 5.92% |
| Eidolon Gantulyst | 100.00% | Rare | 7.02% |

## Arcane Ultimatum
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Gantulyst (Special) | 100.00% | Rare | 5.29% |

## Battle Stations
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Orm Gox | 15.00% | Rare | 5.56% |
| Axio Gox | 15.00% | Rare | 3.46% |
| Vorac Gox | 15.00% | Rare | 3.16% |
| Elite Exo Outrider | 15.00% | Rare | 6.35% |
| Exo Outrider | 15.00% | Rare | 6.35% |
| Elite Kosma Outrider | 15.00% | Rare | 3.16% |
| Kosma Outrider | 15.00% | Rare | 3.16% |
| Elite Gyre Outrider | 15.00% | Rare | 4.10% |
| Gyre Outrider | 15.00% | Rare | 4.10% |

## Handspring
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Vapos Tech | 3.00% | Rare | 2.01% |
| Vapos Tech Ranger | 10.00% | Legendary | 0.67% |
| Vapos Elite Ranger | 10.00% | Legendary | 0.67% |
| Vapos Nullifier Ranger | 10.00% | Legendary | 0.67% |
| Vapos Detron Ranger | 10.00% | Legendary | 0.67% |
| Vapos Sniper Ranger | 10.00% | Legendary | 0.67% |
| Taro Ranger Crewman | 10.00% | Legendary | 0.67% |
| Optio | 3.00% | Rare | 2.01% |
| Orm Ranger Crewman | 10.00% | Legendary | 0.67% |
| Axio Ranger Crewman | 10.00% | Legendary | 0.67% |
| Vorac Ranger Crewman | 10.00% | Legendary | 0.67% |
| Corpus Tech | 3.00% | Rare | 2.01% |
| Jackal | 100.00% | Rare | 1.01% |
| Corpus Warden | 3.00% | Rare | 2.01% |
| Latrox Une | 3.00% | Rare | 2.01% |
| Narmer Elite Ranger | 10.00% | Legendary | 0.67% |
| Narmer Jailer | 10.00% | Legendary | 0.67% |
| Narmer Nullifier Ranger | 10.00% | Legendary | 0.67% |
| Narmer Detron Ranger | 10.00% | Legendary | 0.67% |
| Narmer Sniper Ranger | 10.00% | Legendary | 0.67% |
| Narmer Corpus Tech | 3.00% | Rare | 2.01% |
| Narmer Tech Ranger | 10.00% | Legendary | 0.67% |
| Narmer Crewman Warden | 3.00% | Rare | 2.01% |
| Scrofa Provisor | 10.00% | Legendary | 0.67% |
| Scrofa Provisor | 20.00% | Legendary | 0.67% |
| Syzygy Light Trencher | 10.00% | Legendary | 0.67% |
| Syzygy Light Trencher | 20.00% | Legendary | 0.67% |
| Scrofa Legionary | 10.00% | Legendary | 0.67% |
| Scrofa Legionary | 20.00% | Legendary | 0.67% |
| Scrofa Heavy Trencher | 10.00% | Legendary | 0.67% |
| Scrofa Heavy Trencher | 20.00% | Legendary | 0.67% |
| Scrofa Light Trencher | 10.00% | Legendary | 0.67% |
| Scrofa Light Trencher | 20.00% | Legendary | 0.67% |
| Terra Manker | 10.00% | Legendary | 0.67% |
| Terra Manker | 20.00% | Legendary | 0.67% |
| Terra Elite Provisor | 10.00% | Legendary | 0.67% |
| Terra Provisor | 10.00% | Legendary | 0.67% |
| Terra Provisor | 20.00% | Legendary | 0.67% |
| Terra Elite Overtaker | 10.00% | Legendary | 0.67% |
| Terra Overtaker | 10.00% | Legendary | 0.67% |
| Terra Overtaker | 20.00% | Legendary | 0.67% |
| Terra Jailer | 10.00% | Legendary | 0.67% |
| Terra Cestra Manker | 10.00% | Legendary | 0.67% |
| Terra Elite Trencher | 10.00% | Legendary | 0.67% |
| Terra Nullifier Crewman | 10.00% | Legendary | 0.67% |
| Terra Trencher | 10.00% | Legendary | 0.67% |
| Terra Trencher | 20.00% | Legendary | 0.67% |

## Static Discharge
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Ved Xol | 10.00% | Uncommon | 12.50% |
| Nako Xol | 10.00% | Uncommon | 12.50% |
| Pelna Cade | 10.00% | Uncommon | 12.50% |
| Lockjaw & Sol | 10.00% | Uncommon | 12.50% |
| Jad Teran | 10.00% | Uncommon | 12.50% |
| Azoth | 10.00% | Uncommon | 12.50% |
| Raptor Rx | 10.00% | Uncommon | 12.50% |
| Auditor | 10.00% | Uncommon | 12.50% |
| Jen Dro | 10.00% | Uncommon | 12.50% |
| Derim Zahn | 10.00% | Uncommon | 12.50% |
| M-W.A.M. | 10.00% | Uncommon | 12.50% |
| Tia Mayn | 10.00% | Uncommon | 12.50% |
| Armis Ulta | 10.00% | Uncommon | 12.50% |
| Dru Pesfor | 10.00% | Uncommon | 12.50% |
| Rana Del | 10.00% | Uncommon | 12.50% |
| 002-Er | 10.00% | Uncommon | 12.50% |

## Cleaving Whirlwind
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Ancient Disruptor | 3.00% | Rare | 1.01% |
| Tar Mutalist Moa | 3.00% | Rare | 1.01% |
| Deimos Therid | 3.00% | Rare | 1.01% |

## Pathogen Rounds
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Vapos Anti Moa | 3.00% | Rare | 7.52% |
| Taro Disc Moa | 3.00% | Rare | 7.52% |
| Orm Disc Moa | 3.00% | Rare | 7.52% |
| Axio Disc Moa | 3.00% | Rare | 7.52% |
| Vorac Disc Moa | 3.00% | Rare | 7.52% |
| Zealot Proselytizer | 20.00% | Uncommon | 22.92% |
| Zealot Herald | 20.00% | Uncommon | 22.92% |
| Zealot Baptizer | 20.00% | Uncommon | 22.92% |
| Kuva Larvling | 20.00% | Uncommon | 22.92% |
| Saturn Six Fugitive | 20.00% | Uncommon | 22.92% |
| Anti Moa | 3.00% | Rare | 7.52% |
| Exploiter Orb | 100.00% | Rare | 4.51% |

## Arcane Pulse
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Gantulyst (Special) | 100.00% | Rare | 5.29% |

## Arcane Eruption
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Eidolon Gantulyst (Special) | 100.00% | Rare | 9.25% |
| Eidolon Gantulyst | 100.00% | Uncommon | 10.20% |

## Soft Hands
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Summulyst | 15.00% | Uncommon | 15.28% |
| Ortholyst | 15.00% | Uncommon | 15.28% |
| Conculyst | 15.00% | Uncommon | 15.28% |
| Decaying Conculyst | 15.00% | Uncommon | 15.28% |
| Archimedean Itzam | 15.00% | Uncommon | 15.28% |

## Necramech Fury
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Necramech (Tier 3) | 10.00% | Common | 75.88% |

## Vigilante Vigor
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Plains Commander | 100.00% | Common | 37.94% |

## Augur Reach
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Recon Commander | 100.00% | Uncommon | 11.06% |

## Steady Hands
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Corrupted Crewman | 3.00% | Legendary | 0.86% |

## Shotgun Elementalist
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Juno Sapper Moa | 3.00% | Uncommon | 14.29% |

## Tactical Pump
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Tusk Heavy Gunner | 10.00% | Uncommon | 11.06% |
| Tusk Bombard | 3.00% | Uncommon | 11.06% |
| Tusk Mortar Bombard | 3.00% | Uncommon | 11.06% |
| Kuva Heavy Gunner | 10.00% | Uncommon | 11.06% |
| Kuva Bombard | 3.00% | Uncommon | 11.06% |
| Bombard | 3.00% | Uncommon | 11.06% |
| Manic Bombard | 40.00% | Uncommon | 11.06% |
| Jackal | 100.00% | Rare | 7.37% |
| Drekar Manic Bombard | 40.00% | Uncommon | 11.06% |
| Narmer Bombard | 3.00% | Uncommon | 11.06% |

## Yar Dal
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Anarch Libritor | 0.50% | Common | 33.33% |

## Lorun-Tash
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Anarch Libritor | 0.50% | Common | 33.33% |

## Convulsion
| Enemy | Enemy Drop Chance | Rarity | Chance |
|---|---|---|---|
| Vapos Oxium Osprey | 3.00% | Rare | 7.37% |
| Taro Secura Osprey | 3.00% | Rare | 7.37% |
| Zealot Proselytizer | 20.00% | Uncommon | 22.92% |
| Zealot Herald | 20.00% | Uncommon | 22.92% |
| Zealot Baptizer | 20.00% | Uncommon | 22.92% |
| Carrion Charger | 3.00% | Rare | 7.37% |
| Kuva Larvling | 20.00% | Uncommon | 22.92% |
| Juno Oxium Osprey | 3.00% | Rare | 7.37% |
| Saturn Six Fugitive | 20.00% | Uncommon | 22.92% |
| Attack Drone | 3.00% | Rare | 7.37% |
| Remech Osprey | 3.00% | Rare | 7.37% |
| Nemes | 3.00% | Rare | 7.37% |
| Carabus | 3.00% | Rare | 7.37% |
| Frontier Regulator | 3.00% | Rare | 7.37% |
| Regulator | 3.00% | Rare | 7.37% |
| Charger | 3.00% | Rare | 7.37% |
| Juggernaut Behemoth | 3.00% | Rare | 7.37% |
| Juggernaut | 3.00% | Rare | 7.37% |
| Jack O'Naut | 3.00% | Rare | 7.37% |
| Sensor Regulator | 3.00% | Rare | 7.37% |
| Oxium Osprey | 3.00% | Rare | 7.37% |
| Rathuum Broadcaster | 3.00% | Rare | 7.37% |
| Polyp-Hog Juggernaut | 3.00% | Rare | 7.37% |
| Deimos Juggernaut | 3.00% | Rare | 7.37% |
| Deimos Charger | 3.00% | Rare | 7.37% |
| Narmer Observation Drone | 3.00% | Rare | 7.37% |
| Narmer Oxium Osprey | 3.00% | Rare | 7.37% |
| Narmer Regulator | 3.00% | Rare | 7.37% |
| Scrofa Shield Osprey | 5.00% | Rare | 3.69% |
| Scrofa Shield Osprey | 20.00% | Rare | 3.69% |
| Observation Drone | 3.00% | Rare | 7.37% |
| Terra Attack Drone | 5.00% | Rare | 3.69% |
| Terra Attack Drone | 20.00% | Rare | 3.69% |
| Terra Shield Osprey | 5.00% | Rare | 3.69% |
| Terra Shield Osprey | 20.00% | Rare | 3.69% |
| Terra Oxium Osprey | 5.00% | Rare | 3.69% |
| Terra Oxium Osprey | 20.00% | Rare | 3.69% |
| Primm | 5.00% | Rare | 3.69% |
| Verd-Ie | 5.00% | Rare | 3.69% |
