# Mission & Bounty Drop Tables
FORMAT: Mission rewards organized by ## Planet, ### Node — Mode. Rotation rewards in tables: Item | Rarity | Chance. Bounties show tier rewards with stage and % in tables.
INDEX: Mission Rewards (24 entries) | Sortie Rewards (1 entries) | Transient Rewards (51 entries) | Key Rewards (24 entries) | Cetus Bounty Rewards (10 entries) | Solaris Bounty Rewards (11 entries) | Deimos Bounty Rewards (12 entries) | Zariman Bounty Rewards (5 entries) | Entrati Lab Rewards (5 entries) | Hex Bounty Rewards (7 entries)

# Mission Rewards
All mission reward tables organized by planet and node. Shows game mode, rotation rewards (A/B/C), item names, rarity, and exact drop percentages.

## Mercury
### Apollodorus — Survival
**Rotation A:**
| Item | Rarity | Chance |
| 2X Morphics | Rare | 8.33% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Uncommon | 20.00% |
| 200X Plastids | Uncommon | 20.00% |
| 1,500 Credits Cache | Uncommon | 20.00% |
| 50 Endo | Uncommon | 20.00% |
| 15X Nistlepod | Uncommon | 20.00% |
| Vitality | Uncommon | 15.49% |
| 200X Plastids | Uncommon | 15.49% |
| 1,500 Credits Cache | Uncommon | 15.49% |
| 50 Endo | Uncommon | 15.49% |
| 15X Nistlepod | Uncommon | 15.49% |
| Gara Chassis Blueprint | Rare | 7.52% |
| Point Blank | Rare | 7.52% |
| Intensify | Rare | 7.52% |
| Vitality | Uncommon | 15.18% |
| 200X Plastids | Uncommon | 15.18% |
| 1,500 Credits Cache | Uncommon | 15.18% |
| 50 Endo | Uncommon | 15.18% |
| 15X Nistlepod | Uncommon | 15.18% |
| Gara Chassis Blueprint | Rare | 7.37% |
| Point Blank | Rare | 7.37% |
| Intensify | Rare | 7.37% |
| 2X Gallium | Rare | 2.01% |
| Gara Chassis Blueprint | Uncommon | 30.56% |
| Point Blank | Uncommon | 30.56% |
| Intensify | Uncommon | 30.56% |
| 2X Gallium | Rare | 8.33% |
## Level 10 - 30 Cetus Bounty
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Steel Fiber | Uncommon | 25.00% |
| 200X Oxium | Uncommon | 25.00% |
| 2,500 Credits Cache | Uncommon | 25.00% |
| 100 Endo | Uncommon | 25.00% |
| Steel Fiber | Uncommon | 15.97% |
| 200X Oxium | Uncommon | 15.97% |
| 2,500 Credits Cache | Uncommon | 15.97% |
| 100 Endo | Uncommon | 15.97% |
| Gara Systems Blueprint | Uncommon | 10.08% |
| Charged Chamber | Uncommon | 10.08% |
| Burning Wasp | Uncommon | 10.08% |
| Aya | Rare | 5.88% |
| Steel Fiber | Uncommon | 15.32% |
| 200X Oxium | Uncommon | 15.32% |
| 2,500 Credits Cache | Uncommon | 15.32% |
| 100 Endo | Uncommon | 15.32% |
| Gara Systems Blueprint | Rare | 9.68% |
| Charged Chamber | Rare | 9.68% |
| Burning Wasp | Rare | 9.68% |
| Aya | Rare | 5.65% |
| 2X Control Module | Rare | 4.03% |
| Gara Systems Blueprint | Uncommon | 25.00% |
| Charged Chamber | Uncommon | 25.00% |
| Burning Wasp | Uncommon | 25.00% |
| Aya | Uncommon | 14.58% |
| 2X Control Module | Uncommon | 10.42% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Energy Inversion | Uncommon | 25.00% |
| 200X Cryotic | Uncommon | 25.00% |
| 2,500 Credits Cache | Uncommon | 25.00% |
| 100 Endo | Uncommon | 25.00% |
| Energy Inversion | Uncommon | 15.97% |
| 200X Cryotic | Uncommon | 15.97% |
| 2,500 Credits Cache | Uncommon | 15.97% |
| 100 Endo | Uncommon | 15.97% |
| Gara Systems Blueprint | Uncommon | 10.08% |
| Speed Trigger | Uncommon | 10.08% |
| Reaping Spiral | Uncommon | 10.08% |
| Aya | Rare | 5.88% |
| Energy Inversion | Uncommon | 15.32% |
| 200X Cryotic | Uncommon | 15.32% |
| 2,500 Credits Cache | Uncommon | 15.32% |
| 100 Endo | Uncommon | 15.32% |
| Gara Systems Blueprint | Rare | 9.68% |
| Speed Trigger | Rare | 9.68% |
| Reaping Spiral | Rare | 9.68% |
| Aya | Rare | 5.65% |
| 2X Neural Sensors | Rare | 4.03% |
| Gara Systems Blueprint | Uncommon | 25.00% |
| Speed Trigger | Uncommon | 25.00% |
| Reaping Spiral | Uncommon | 25.00% |
| Aya | Uncommon | 14.58% |
| 2X Neural Sensors | Uncommon | 10.42% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Point Strike | Uncommon | 25.00% |
| 300X Circuits | Uncommon | 25.00% |
| 2,500 Credits Cache | Uncommon | 25.00% |
| 100 Endo | Uncommon | 25.00% |
| Point Strike | Uncommon | 15.97% |
| 300X Circuits | Uncommon | 15.97% |
| 2,500 Credits Cache | Uncommon | 15.97% |
| 100 Endo | Uncommon | 15.97% |
| Gara Systems Blueprint | Uncommon | 10.08% |
| Enhanced Durability | Uncommon | 10.08% |
| Grim Fury | Uncommon | 10.08% |
| Aya | Rare | 5.88% |
| Point Strike | Uncommon | 15.32% |
| 300X Circuits | Uncommon | 15.32% |
| 2,500 Credits Cache | Uncommon | 15.32% |
| 100 Endo | Uncommon | 15.32% |
| Gara Systems Blueprint | Rare | 9.68% |
| Enhanced Durability | Rare | 9.68% |
| Grim Fury | Rare | 9.68% |
| Aya | Rare | 5.65% |
| 2X Orokin Cell | Rare | 4.03% |
| Gara Systems Blueprint | Uncommon | 25.00% |
| Enhanced Durability | Uncommon | 25.00% |
| Grim Fury | Uncommon | 25.00% |
| Aya | Uncommon | 14.58% |
| 2X Orokin Cell | Uncommon | 10.42% |
## Level 20 - 40 Cetus Bounty
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Gladiator Aegis | Uncommon | 27.59% |
| Madurai Lens | Uncommon | 13.79% |
| Cetus Wisp | Uncommon | 29.31% |
| 200 Endo | Uncommon | 29.31% |
| Gladiator Aegis | Uncommon | 18.08% |
| Madurai Lens | Rare | 9.04% |
| Cetus Wisp | Uncommon | 19.21% |
| 200 Endo | Uncommon | 19.21% |
| Gara Neuroptics Blueprint | Rare | 9.04% |
| Augur Accord | Rare | 9.04% |
| Revenant Systems Blueprint | Rare | 9.04% |
| Aya | Rare | 7.34% |
| Gladiator Aegis | Uncommon | 17.68% |
| Madurai Lens | Rare | 8.84% |
| Cetus Wisp | Uncommon | 18.78% |
| 200 Endo | Uncommon | 18.78% |
| Gara Neuroptics Blueprint | Rare | 8.84% |
| Augur Accord | Rare | 8.84% |
| Revenant Systems Blueprint | Rare | 8.84% |
| Aya | Rare | 7.18% |
| Vigilante Supplies | Rare | 2.21% |
| Gara Neuroptics Blueprint | Uncommon | 24.62% |
| Augur Accord | Uncommon | 24.62% |
| Revenant Systems Blueprint | Uncommon | 24.62% |
| Aya | Uncommon | 20.00% |
| Vigilante Supplies | Rare | 6.15% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Vigilante Armaments | Common | 35.19% |
| Vazarin Lens | Uncommon | 14.81% |
| Unairu Lens | Uncommon | 14.81% |
| 200 Endo | Common | 35.19% |
| Vigilante Armaments | Uncommon | 22.09% |
| Vazarin Lens | Rare | 9.30% |
| Unairu Lens | Rare | 9.30% |
| 200 Endo | Uncommon | 22.09% |
| Gara Neuroptics Blueprint | Rare | 9.30% |
| Gladiator Might | Rare | 9.30% |
| Revenant Systems Blueprint | Uncommon | 10.47% |
| Aya | Rare | 8.14% |
| Vigilante Armaments | Uncommon | 21.59% |
| Vazarin Lens | Rare | 9.09% |
| Unairu Lens | Rare | 9.09% |
| 200 Endo | Uncommon | 21.59% |
| Gara Neuroptics Blueprint | Rare | 9.09% |
| Gladiator Might | Rare | 9.09% |
| Revenant Systems Blueprint | Uncommon | 10.23% |
| Aya | Rare | 7.95% |
| Augur Seeker | Rare | 2.27% |
| Gara Neuroptics Blueprint | Uncommon | 23.53% |
| Gladiator Might | Uncommon | 23.53% |
| Revenant Systems Blueprint | Uncommon | 26.47% |
| Aya | Uncommon | 20.59% |
| Augur Seeker | Rare | 5.88% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Augur Pact | Common | 35.19% |
| Naramon Lens | Uncommon | 14.81% |
| Zenurik Lens | Uncommon | 14.81% |
| 200 Endo | Common | 35.19% |
| Augur Pact | Uncommon | 21.97% |
| Naramon Lens | Rare | 9.25% |
| Zenurik Lens | Rare | 9.25% |
| 200 Endo | Uncommon | 21.97% |
| Gara Neuroptics Blueprint | Uncommon | 10.40% |
| Vigilante Fervor | Rare | 9.25% |
| Revenant Systems Blueprint | Rare | 9.25% |
| Aya | Rare | 8.67% |
| Augur Pact | Uncommon | 21.47% |
| Naramon Lens | Rare | 9.04% |
| Zenurik Lens | Rare | 9.04% |
| 200 Endo | Uncommon | 21.47% |
| Gara Neuroptics Blueprint | Uncommon | 10.17% |
| Vigilante Fervor | Rare | 9.04% |
| Revenant Systems Blueprint | Rare | 9.04% |
| Aya | Rare | 8.47% |
| Gladiator Vice | Rare | 2.26% |
| Gara Neuroptics Blueprint | Uncommon | 26.09% |
| Vigilante Fervor | Uncommon | 23.19% |
| Revenant Systems Blueprint | Uncommon | 23.19% |
| Aya | Uncommon | 21.74% |
| Gladiator Vice | Rare | 5.80% |
## Level 30 - 50 Cetus Bounty
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Gladiator Rush | Common | 35.19% |
| Unairu Lens | Uncommon | 14.81% |
| Madurai Lens | Uncommon | 14.81% |
| 300 Endo | Common | 35.19% |
| Gladiator Rush | Uncommon | 21.35% |
| Unairu Lens | Rare | 8.99% |
| Madurai Lens | Rare | 8.99% |
| 300 Endo | Uncommon | 21.35% |
| Cetus Wisp | Uncommon | 10.11% |
| Augur Reach | Rare | 8.99% |
| Revenant Chassis Blueprint | Rare | 8.99% |
| Aya | Uncommon | 11.24% |
| Gladiator Rush | Uncommon | 20.88% |
| Unairu Lens | Rare | 8.79% |
| Madurai Lens | Rare | 8.79% |
| 300 Endo | Uncommon | 20.88% |
| Cetus Wisp | Rare | 9.89% |
| Augur Reach | Rare | 8.79% |
| Revenant Chassis Blueprint | Rare | 8.79% |
| Aya | Uncommon | 10.99% |
| Vigilante Offense | Rare | 2.20% |
| Cetus Wisp | Uncommon | 24.32% |
| Augur Reach | Uncommon | 21.62% |
| Revenant Chassis Blueprint | Uncommon | 21.62% |
| Aya | Uncommon | 27.03% |
| Vigilante Offense | Rare | 5.41% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Vigilante Vigor | Common | 35.19% |
| Zenurik Lens | Uncommon | 14.81% |
| Vazarin Lens | Uncommon | 14.81% |
| 300 Endo | Common | 35.19% |
| Vigilante Vigor | Uncommon | 21.35% |
| Zenurik Lens | Rare | 8.99% |
| Vazarin Lens | Rare | 8.99% |
| 300 Endo | Uncommon | 21.35% |
| Cetus Wisp | Uncommon | 10.11% |
| Gladiator Resolve | Rare | 8.99% |
| Revenant Chassis Blueprint | Rare | 8.99% |
| Aya | Uncommon | 11.24% |
| Vigilante Vigor | Uncommon | 20.88% |
| Zenurik Lens | Rare | 8.79% |
| Vazarin Lens | Rare | 8.79% |
| 300 Endo | Uncommon | 20.88% |
| Cetus Wisp | Rare | 9.89% |
| Gladiator Resolve | Rare | 8.79% |
| Revenant Chassis Blueprint | Rare | 8.79% |
| Aya | Uncommon | 10.99% |
| Augur Secrets | Rare | 2.20% |
| Cetus Wisp | Uncommon | 24.32% |
| Gladiator Resolve | Uncommon | 21.62% |
| Revenant Chassis Blueprint | Uncommon | 21.62% |
| Aya | Uncommon | 27.03% |
| Augur Secrets | Rare | 5.41% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Augur Message | Uncommon | 29.31% |
| 100X Kuva | Uncommon | 27.59% |
| Naramon Lens | Uncommon | 13.79% |
| 300 Endo | Uncommon | 29.31% |
| Augur Message | Uncommon | 18.48% |
| 100X Kuva | Uncommon | 17.39% |
| Naramon Lens | Rare | 8.70% |
| 300 Endo | Uncommon | 18.48% |
| Cetus Wisp | Rare | 8.70% |
| Vigilante Pursuit | Rare | 8.70% |
| Revenant Chassis Blueprint | Rare | 8.70% |
| Aya | Uncommon | 10.87% |
| Augur Message | Uncommon | 18.09% |
| 100X Kuva | Uncommon | 17.02% |
| Naramon Lens | Rare | 8.51% |
| 300 Endo | Uncommon | 18.09% |
| Cetus Wisp | Rare | 8.51% |
| Vigilante Pursuit | Rare | 8.51% |
| Revenant Chassis Blueprint | Rare | 8.51% |
| Aya | Uncommon | 10.64% |
| Gladiator Finesse | Rare | 2.13% |
| Cetus Wisp | Uncommon | 22.22% |
| Vigilante Pursuit | Uncommon | 22.22% |
| Revenant Chassis Blueprint | Uncommon | 22.22% |
| Aya | Uncommon | 27.78% |
| Gladiator Finesse | Rare | 5.56% |
## Level 40 - 60 Cetus Bounty
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Breath Of The Eidolon | Common | 50.00% |
| 400 Endo | Common | 50.00% |
| 5X Breath Of The Eidolon | Uncommon | 21.74% |
| 400 Endo | Uncommon | 21.74% |
| 2X Cetus Wisp | Uncommon | 17.39% |
| 300X Kuva | Rare | 6.09% |
| Aya | Common | 33.04% |
| 5X Breath Of The Eidolon | Uncommon | 16.89% |
| 400 Endo | Uncommon | 16.89% |
| 2X Cetus Wisp | Uncommon | 13.51% |
| 300X Kuva | Rare | 4.73% |
| Aya | Uncommon | 25.68% |
| Furax Wraith Left Gauntlet | Rare | 5.41% |
| Carving Mantis | Rare | 5.41% |
| Eidolon Lens Blueprint | Rare | 4.73% |
| Revenant Neuroptics Blueprint | Rare | 6.76% |
| 2X Cetus Wisp | Uncommon | 20.41% |
| 300X Kuva | Rare | 7.14% |
| Aya | Common | 38.78% |
| Furax Wraith Left Gauntlet | Rare | 8.16% |
| Carving Mantis | Rare | 8.16% |
| Eidolon Lens Blueprint | Rare | 7.14% |
| Revenant Neuroptics Blueprint | Uncommon | 10.20% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Breath Of The Eidolon | Common | 50.00% |
| 400 Endo | Common | 50.00% |
| 5X Breath Of The Eidolon | Uncommon | 21.74% |
| 400 Endo | Uncommon | 21.74% |
| 2X Cetus Wisp | Uncommon | 17.39% |
| 300X Kuva | Rare | 6.09% |
| Aya | Common | 33.04% |
| 5X Breath Of The Eidolon | Uncommon | 16.89% |
| 400 Endo | Uncommon | 16.89% |
| 2X Cetus Wisp | Uncommon | 13.51% |
| 300X Kuva | Rare | 4.73% |
| Aya | Uncommon | 25.68% |
| Furax Wraith Right Gauntlet | Rare | 5.41% |
| Swooping Falcon | Rare | 5.41% |
| Eidolon Lens Blueprint | Rare | 4.73% |
| Revenant Neuroptics Blueprint | Rare | 6.76% |
| 2X Cetus Wisp | Uncommon | 20.41% |
| 300X Kuva | Rare | 7.14% |
| Aya | Common | 38.78% |
| Furax Wraith Right Gauntlet | Rare | 8.16% |
| Swooping Falcon | Rare | 8.16% |
| Eidolon Lens Blueprint | Rare | 7.14% |
| Revenant Neuroptics Blueprint | Uncommon | 10.20% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Breath Of The Eidolon | Common | 50.00% |
| 400 Endo | Common | 50.00% |
| 5X Breath Of The Eidolon | Uncommon | 21.74% |
| 400 Endo | Uncommon | 21.74% |
| 2X Cetus Wisp | Uncommon | 17.39% |
| 300X Kuva | Rare | 6.09% |
| Aya | Common | 33.04% |
| 5X Breath Of The Eidolon | Uncommon | 16.89% |
| 400 Endo | Uncommon | 16.89% |
| 2X Cetus Wisp | Uncommon | 13.51% |
| 300X Kuva | Rare | 4.73% |
| Aya | Uncommon | 25.68% |
| Furax Wraith Blueprint | Rare | 5.41% |
| Twirling Spire | Rare | 5.41% |
| Eidolon Lens Blueprint | Rare | 4.73% |
| Revenant Neuroptics Blueprint | Rare | 6.76% |
| 2X Cetus Wisp | Uncommon | 20.41% |
| 300X Kuva | Rare | 7.14% |
| Aya | Common | 38.78% |
| Furax Wraith Blueprint | Rare | 8.16% |
| Twirling Spire | Rare | 8.16% |
| Eidolon Lens Blueprint | Rare | 7.14% |
| Revenant Neuroptics Blueprint | Uncommon | 10.20% |
## Level 100 - 100 Cetus Bounty
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Breath Of The Eidolon | Common | 50.00% |
| 400 Endo | Common | 50.00% |
| 5X Breath Of The Eidolon | Uncommon | 21.74% |
| 400 Endo | Uncommon | 21.74% |
| 2X Cetus Wisp | Uncommon | 17.39% |
| 300X Kuva | Rare | 6.09% |
| Aya | Common | 33.04% |
| 5X Breath Of The Eidolon | Uncommon | 16.89% |
| 400 Endo | Uncommon | 16.89% |
| 2X Cetus Wisp | Uncommon | 13.51% |
| 300X Kuva | Rare | 4.73% |
| Aya | Uncommon | 25.68% |
| Furax Wraith Left Gauntlet | Rare | 5.41% |
| Carving Mantis | Rare | 5.41% |
| Eidolon Lens Blueprint | Rare | 4.73% |
| Revenant Neuroptics Blueprint | Rare | 6.76% |
| 2X Cetus Wisp | Uncommon | 20.41% |
| 300X Kuva | Rare | 7.14% |
| Aya | Common | 38.78% |
| Furax Wraith Left Gauntlet | Rare | 8.16% |
| Carving Mantis | Rare | 8.16% |
| Eidolon Lens Blueprint | Rare | 7.14% |
| Revenant Neuroptics Blueprint | Uncommon | 10.20% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Breath Of The Eidolon | Common | 50.00% |
| 400 Endo | Common | 50.00% |
| 5X Breath Of The Eidolon | Uncommon | 21.74% |
| 400 Endo | Uncommon | 21.74% |
| 2X Cetus Wisp | Uncommon | 17.39% |
| 300X Kuva | Rare | 6.09% |
| Aya | Common | 33.04% |
| 5X Breath Of The Eidolon | Uncommon | 16.89% |
| 400 Endo | Uncommon | 16.89% |
| 2X Cetus Wisp | Uncommon | 13.51% |
| 300X Kuva | Rare | 4.73% |
| Aya | Uncommon | 25.68% |
| Furax Wraith Right Gauntlet | Rare | 5.41% |
| Swooping Falcon | Rare | 5.41% |
| Eidolon Lens Blueprint | Rare | 4.73% |
| Revenant Neuroptics Blueprint | Rare | 6.76% |
| 2X Cetus Wisp | Uncommon | 20.41% |
| 300X Kuva | Rare | 7.14% |
| Aya | Common | 38.78% |
| Furax Wraith Right Gauntlet | Rare | 8.16% |
| Swooping Falcon | Rare | 8.16% |
| Eidolon Lens Blueprint | Rare | 7.14% |
| Revenant Neuroptics Blueprint | Uncommon | 10.20% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Breath Of The Eidolon | Common | 50.00% |
| 400 Endo | Common | 50.00% |
| 5X Breath Of The Eidolon | Uncommon | 21.74% |
| 400 Endo | Uncommon | 21.74% |
| 2X Cetus Wisp | Uncommon | 17.39% |
| 300X Kuva | Rare | 6.09% |
| Aya | Common | 33.04% |
| 5X Breath Of The Eidolon | Uncommon | 16.89% |
| 400 Endo | Uncommon | 16.89% |
| 2X Cetus Wisp | Uncommon | 13.51% |
| 300X Kuva | Rare | 4.73% |
| Aya | Uncommon | 25.68% |
| Furax Wraith Blueprint | Rare | 5.41% |
| Twirling Spire | Rare | 5.41% |
| Eidolon Lens Blueprint | Rare | 4.73% |
| Revenant Neuroptics Blueprint | Rare | 6.76% |
| 2X Cetus Wisp | Uncommon | 20.41% |
| 300X Kuva | Rare | 7.14% |
| Aya | Common | 38.78% |
| Furax Wraith Blueprint | Rare | 8.16% |
| Twirling Spire | Rare | 8.16% |
| Eidolon Lens Blueprint | Rare | 7.14% |
| Revenant Neuroptics Blueprint | Uncommon | 10.20% |
## Level 50 - 70 Cetus Bounty
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Amar's Anguish | Uncommon | 20.00% |
| Narmer Isoplast | Common | 33.33% |
| 600 Endo | Common | 46.67% |
| Amar's Anguish | Rare | 8.11% |
| Narmer Isoplast | Uncommon | 13.51% |
| 600 Endo | Uncommon | 18.92% |
| Caliban Systems Blueprint | Rare | 8.11% |
| Boreal's Hatred | Uncommon | 13.51% |
| 2X Narmer Isoplast | Uncommon | 18.92% |
| 900 Endo | Uncommon | 18.92% |
| Amar's Anguish | Rare | 5.45% |
| Narmer Isoplast | Rare | 9.09% |
| 600 Endo | Uncommon | 12.73% |
| Caliban Systems Blueprint | Rare | 5.45% |
| Boreal's Hatred | Rare | 9.09% |
| 2X Narmer Isoplast | Uncommon | 12.73% |
| 900 Endo | Uncommon | 12.73% |
| Nira's Contempt | Rare | 5.45% |
| Verdilac Blueprint | Rare | 5.45% |
| 3X Narmer Isoplast | Rare | 9.09% |
| 1200 Endo | Uncommon | 12.73% |
| Caliban Systems Blueprint | Rare | 7.50% |
| Boreal's Hatred | Uncommon | 12.50% |
| 2X Narmer Isoplast | Uncommon | 17.50% |
| 900 Endo | Uncommon | 17.50% |
| Nira's Contempt | Rare | 7.50% |
| Verdilac Blueprint | Rare | 7.50% |
| 3X Narmer Isoplast | Uncommon | 12.50% |
| 1200 Endo | Uncommon | 17.50% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Boreal's Anguish | Uncommon | 20.00% |
| Narmer Isoplast | Common | 33.33% |
| 600 Endo | Common | 46.67% |
| Boreal's Anguish | Rare | 8.11% |
| Narmer Isoplast | Uncommon | 13.51% |
| 600 Endo | Uncommon | 18.92% |
| Caliban Chassis Blueprint | Rare | 8.11% |
| Nira's Hatred | Uncommon | 13.51% |
| 2X Narmer Isoplast | Uncommon | 18.92% |
| 900 Endo | Uncommon | 18.92% |
| Boreal's Anguish | Rare | 5.45% |
| Narmer Isoplast | Rare | 9.09% |
| 600 Endo | Uncommon | 12.73% |
| Caliban Chassis Blueprint | Rare | 5.45% |
| Nira's Hatred | Rare | 9.09% |
| 2X Narmer Isoplast | Uncommon | 12.73% |
| 900 Endo | Uncommon | 12.73% |
| Amar's Contempt | Rare | 5.45% |
| Nepheri Blueprint | Rare | 5.45% |
| 3X Narmer Isoplast | Rare | 9.09% |
| 1200 Endo | Uncommon | 12.73% |
| Caliban Chassis Blueprint | Rare | 7.50% |
| Nira's Hatred | Uncommon | 12.50% |
| 2X Narmer Isoplast | Uncommon | 17.50% |
| 900 Endo | Uncommon | 17.50% |
| Amar's Contempt | Rare | 7.50% |
| Nepheri Blueprint | Rare | 7.50% |
| 3X Narmer Isoplast | Uncommon | 12.50% |
| 1200 Endo | Uncommon | 17.50% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Nira's Anguish | Uncommon | 20.00% |
| Narmer Isoplast | Common | 33.33% |
| 600 Endo | Common | 46.67% |
| Nira's Anguish | Rare | 8.11% |
| Narmer Isoplast | Uncommon | 13.51% |
| 600 Endo | Uncommon | 18.92% |
| Caliban Neuroptics Blueprint | Rare | 8.11% |
| Amar's Hatred | Uncommon | 13.51% |
| 2X Narmer Isoplast | Uncommon | 18.92% |
| 900 Endo | Uncommon | 18.92% |
| Nira's Anguish | Rare | 5.45% |
| Narmer Isoplast | Rare | 9.09% |
| 600 Endo | Uncommon | 12.73% |
| Caliban Neuroptics Blueprint | Rare | 5.45% |
| Amar's Hatred | Rare | 9.09% |
| 2X Narmer Isoplast | Uncommon | 12.73% |
| 900 Endo | Uncommon | 12.73% |
| Boreal's Contempt | Rare | 5.45% |
| Korumm Blueprint | Rare | 5.45% |
| 3X Narmer Isoplast | Rare | 9.09% |
| 1200 Endo | Uncommon | 12.73% |
| Caliban Neuroptics Blueprint | Rare | 7.50% |
| Amar's Hatred | Uncommon | 12.50% |
| 2X Narmer Isoplast | Uncommon | 17.50% |
| 900 Endo | Uncommon | 17.50% |
| Boreal's Contempt | Rare | 7.50% |
| Korumm Blueprint | Rare | 7.50% |
| 3X Narmer Isoplast | Uncommon | 12.50% |
| 1200 Endo | Uncommon | 17.50% |
## Level 15 - 25 Ghoul Bounty
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 300 Endo | Common | 36.76% |
| 3,000 Credits Cache | Uncommon | 26.47% |
| Hunter Adrenaline | Common | 36.76% |
| 300 Endo | Uncommon | 12.14% |
| 3,000 Credits Cache | Rare | 8.74% |
| Hunter Adrenaline | Uncommon | 12.14% |
| Encrypted Journal Fragment | Uncommon | 19.42% |
| Hunter Munitions | Rare | 9.71% |
| Stubba Blueprint | Rare | 4.85% |
| Cetus Wisp | Rare | 9.71% |
| 5X Breath Of The Eidolon | Rare | 4.85% |
| Neo C7 Relic | Uncommon | 18.45% |
| 300 Endo | Rare | 8.93% |
| 3,000 Credits Cache | Rare | 6.43% |
| Hunter Adrenaline | Rare | 8.93% |
| Encrypted Journal Fragment | Uncommon | 14.29% |
| Hunter Munitions | Rare | 7.14% |
| Stubba Blueprint | Rare | 3.57% |
| Cetus Wisp | Rare | 7.14% |
| 5X Breath Of The Eidolon | Rare | 3.57% |
| Neo C7 Relic | Uncommon | 13.57% |
| Hunter Track | Rare | 7.14% |
| Nitain Extract | Rare | 3.57% |
| Aya | Uncommon | 15.71% |
| Encrypted Journal Fragment | Uncommon | 18.87% |
| Hunter Munitions | Rare | 9.43% |
| Stubba Blueprint | Rare | 4.72% |
| Cetus Wisp | Rare | 9.43% |
| 5X Breath Of The Eidolon | Rare | 4.72% |
| Neo C7 Relic | Uncommon | 17.92% |
| Hunter Track | Rare | 9.43% |
| Nitain Extract | Rare | 4.72% |
| Aya | Uncommon | 20.75% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
## Level 40 - 50 Ghoul Bounty
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 300 Endo | Common | 36.76% |
| 3,000 Credits Cache | Uncommon | 26.47% |
| Hunter Recovery | Common | 36.76% |
| 300 Endo | Uncommon | 12.14% |
| 3,000 Credits Cache | Rare | 8.74% |
| Hunter Recovery | Uncommon | 12.14% |
| Encrypted Journal Fragment | Uncommon | 19.42% |
| Hunter Synergy | Rare | 9.71% |
| Quartakk Blueprint | Rare | 4.85% |
| Cetus Wisp | Rare | 9.71% |
| 5X Breath Of The Eidolon | Rare | 4.85% |
| Neo S20 Relic | Uncommon | 18.45% |
| 300 Endo | Rare | 8.93% |
| 3,000 Credits Cache | Rare | 6.43% |
| Hunter Recovery | Rare | 8.93% |
| Encrypted Journal Fragment | Uncommon | 14.29% |
| Hunter Synergy | Rare | 7.14% |
| Quartakk Blueprint | Rare | 3.57% |
| Cetus Wisp | Rare | 7.14% |
| 5X Breath Of The Eidolon | Rare | 3.57% |
| Neo S20 Relic | Uncommon | 13.57% |
| Hunter Command | Rare | 7.14% |
| Nitain Extract | Rare | 3.57% |
| Aya | Uncommon | 15.71% |
| Encrypted Journal Fragment | Uncommon | 18.87% |
| Hunter Synergy | Rare | 9.43% |
| Quartakk Blueprint | Rare | 4.72% |
| Cetus Wisp | Rare | 9.43% |
| 5X Breath Of The Eidolon | Rare | 4.72% |
| Neo S20 Relic | Uncommon | 17.92% |
| Hunter Command | Rare | 9.43% |
| Nitain Extract | Rare | 4.72% |
| Aya | Uncommon | 20.75% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
## Level 15 - 25 Plague Star
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Augur Message | Uncommon | 25.00% |
| 100X Kuva | Uncommon | 23.86% |
| Naramon Lens | Uncommon | 14.77% |
| 300 Endo | Uncommon | 25.00% |
| Lith C14 Relic | Rare | 1.14% |
| Lith E2 Relic | Rare | 1.14% |
| Lith N18 Relic | Rare | 1.14% |
| Meso L4 Relic | Rare | 1.14% |
| Neo C7 Relic | Rare | 1.14% |
| Neo S20 Relic | Rare | 1.14% |
| Neo P10 Relic | Rare | 1.14% |
