# Enemy Drop Tables
FORMAT: Each ## is one enemy. Tables list what that enemy drops: mods, blueprints, resources, sigils with rarity and exact % chance.
INDEX: Enemy Mod Drop Tables (860 entries) | Enemy Blueprint Drop Tables (88 entries) | Resource Drops by Enemy (826 entries) | Sigil Drops by Enemy (57 entries) | Additional Item Drops by Enemy (37 entries)

## Scavenger Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Butcher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Elite Lancer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Eviscerator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Heavy Gunner
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Scorpion
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Ballista
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Seeker
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Hellion
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 100.00% |

## Drekar Manic
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Manic Bombard
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Lancer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Drekar Trooper
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Sensor Regulator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Orokin Spectator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Conculyst
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 48.71% |
| Orokin Cell | Rare | 1.29% |

## Battalyst
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 48.71% |
| Orokin Cell | Rare | 1.29% |

## Decaying Conculyst
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 48.71% |
| Orokin Cell | Rare | 1.29% |

## Decaying Battalyst
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 48.71% |
| Orokin Cell | Rare | 1.29% |

## Shield Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Shock Draga
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Shockwave Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Detron Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Sniper Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Stalker
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 48.71% |
| Orokin Cell | Rare | 1.29% |

## Shadow Stalker
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 48.71% |
| Orokin Cell | Rare | 1.29% |

## Latcher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Oxium Osprey
| Item | Rarity | Chance |
|---|---|---|
| Oxium | Common | 100.00% |

## Tenno Specter
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 4.00% |

## Mutalist Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Tyl Regor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 97.42% |
| Orokin Cell | Rare | 2.58% |

## Reinforced Corpus Storage Container
| Item | Rarity | Chance |
|---|---|---|
| Fieldron | Common | 100.00% |

## Reinforced Grineer Storage Container
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 303.52% |
| Isos | Uncommon | 88.44% |
| Aucrux Capacitors | Rare | 8.04% |

## Reinforced Orokin Storage Container (Level 0 - 50)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Uncommon | 24.64% |
| Cubic Diodes | Uncommon | 24.64% |
| Titanium | Uncommon | 24.64% |
| Isos | Uncommon | 20.29% |
| Aucrux Capacitors | Rare | 5.80% |

## Reinforced Orokin Storage Container (Level 51 - 75)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 59.68% |
| Cubic Diodes | Uncommon | 20.16% |
| Titanium | Uncommon | 20.16% |
| Asterite | Legendary | — |
| Gallos Rods | Legendary | — |
| Komms | Legendary | — |

## Reinforced Orokin Storage Container (Level 76 - 100)
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 51.19% |
| Cubic Diodes | Uncommon | 17.29% |
| Titanium | Uncommon | 17.29% |
| Asterite | Uncommon | 14.24% |
| Aucrux Capacitors | Legendary | — |
| Nullstones | Legendary | — |

## Reinforced Orokin Storage Container
| Item | Rarity | Chance |
|---|---|---|
| Forma | Common | 100.00% |

## Vay Hek Terra Frame
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 97.42% |
| Orokin Cell | Rare | 2.58% |

## Rathuum Broadcaster
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Corrupted Vor
| Item | Rarity | Chance |
|---|---|---|
| Rune Marrow | Common | 100.00% |

## Corpus Warden
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Corrupted Warden
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Grineer Warden
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Sikula
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Therid
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Leaping Thrasher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Carnis
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Carnis Rex
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Jugulus
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Jugulus Rex
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Mutalist Osprey Carrier
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Saxum Rex
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Latrox Une
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Brood Mother
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Polyp-Hog Juggernaut
| Item | Rarity | Chance |
|---|---|---|
| Pulsating Tubercles | Uncommon | 25.00% |
| Infected Palpators | Uncommon | 25.00% |
| Chitinous Husk | Uncommon | 25.00% |
| Severed Bile Sac | Uncommon | 25.00% |

## Lancer Survivor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Trooper Survivor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Ancient Healer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Venin Mutalist
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Saxum
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Tendril Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Juggernaut
| Item | Rarity | Chance |
|---|---|---|
| Pulsating Tubercles | Uncommon | 25.00% |
| Infected Palpators | Uncommon | 25.00% |
| Chitinous Husk | Uncommon | 25.00% |
| Severed Bile Sac | Uncommon | 25.00% |

## Deimos Leaper
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Runner
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Garv
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Swarm Mutalist Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Deimos Charger
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Basal Diploid
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Basal Diploid Rex
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Feral Diploid
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Feral Diploid Rex
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Janus Captain Vor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 97.42% |
| Orokin Cell | Rare | 2.58% |

## Protector Stalker
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 48.71% |
| Orokin Cell | Rare | 1.29% |

## Narmer Mite
| Item | Rarity | Chance |
|---|---|---|
| Vega Toroid | Common | 1.00% |

## Narmer Butcher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Flameblade
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Bombard
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Commander
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Observation Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Power Carrier
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Detron Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Dera Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Disc Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Elite Ranger
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Narmer Geminex Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Glaxion Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Jailer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Narmer Leech Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Mine Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Nullifier Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Nullifier Ranger
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Narmer Prod Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Detron Ranger
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Narmer Sapping Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Scavenger Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Shield Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Shockwave Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Sniper Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Sniper Ranger
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Narmer Oxium Osprey
| Item | Rarity | Chance |
|---|---|---|
| Oxium | Common | 100.00% |

## Narmer Corpus Tech
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Tech Ranger
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Narmer Crewman Warden
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Sensolyst Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Demolisher Expired
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 11.21% |
| Region Resource | Uncommon | 3.79% |

## Narmer Demolisher Bailiff
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 11.21% |
| Region Resource | Uncommon | 3.79% |

## Narmer Demolisher Gunner
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 11.21% |
| Region Resource | Uncommon | 3.79% |

## Narmer Elite Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Elite Lancer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Ballista
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Scorch
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Gunner Warden
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Heavy Gunner
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Napalm
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Hellion
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Lancer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Scorpion
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Machinist
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Seeker
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Powerfist
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Regulator
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Shield Lancer
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Trooper
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Tech
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Narmer Thumper Doma
| Item | Rarity | Chance |
|---|---|---|
| Charc Electroplax | Rare | 33.36% |
| Goopolla Spleen | Rare | 33.36% |
| Murkray Liver | Rare | 33.36% |
| Sharrac Teeth | Rare | 33.36% |
| Karkina Antenna | Rare | 33.36% |
| Azurite | Rare | 33.36% |
| Devar | Rare | 33.36% |
| Pyrol | Rare | 33.36% |
| Coprite Alloy | Rare | 33.36% |
| Mawfish Bones | Rare | 33.36% |
| Khut-Khut Venom Sac | Rare | 33.36% |
| Yogwun Stomach | Rare | 33.36% |
| Tralok Eyes | Rare | 33.36% |
| Mortus Horn | Rare | 33.36% |
| Maprico | Rare | 33.36% |
| Grokdrul | Rare | 33.36% |
| Iradite | Rare | 33.36% |
| Norg Brain | Rare | 33.36% |
| Cuthol Tendrils | Rare | 33.36% |
| Nistlepod | Rare | 33.36% |
| Crimzian | Rare | 33.36% |
| Auron | Rare | 33.36% |
| Veridos | Rare | 33.36% |
| Ferros | Rare | 33.36% |

## Narmer Thumper Bull
| Item | Rarity | Chance |
|---|---|---|
| Charc Electroplax | Rare | 25.02% |
| Goopolla Spleen | Rare | 25.02% |
| Murkray Liver | Rare | 25.02% |
| Sharrac Teeth | Rare | 25.02% |
| Karkina Antenna | Rare | 25.02% |
| Azurite | Rare | 25.02% |
| Devar | Rare | 25.02% |
| Pyrol | Rare | 25.02% |
| Coprite Alloy | Rare | 25.02% |
| Mawfish Bones | Rare | 25.02% |
| Khut-Khut Venom Sac | Rare | 25.02% |
| Yogwun Stomach | Rare | 25.02% |
| Tralok Eyes | Rare | 25.02% |
| Mortus Horn | Rare | 25.02% |
| Maprico | Rare | 25.02% |
| Grokdrul | Rare | 25.02% |
| Iradite | Rare | 25.02% |
| Norg Brain | Rare | 25.02% |
| Cuthol Tendrils | Rare | 25.02% |
| Nistlepod | Rare | 25.02% |
| Crimzian | Rare | 25.02% |
| Auron | Rare | 25.02% |
| Veridos | Rare | 25.02% |
| Ferros | Rare | 25.02% |

## Narmer Thumper
| Item | Rarity | Chance |
|---|---|---|
| Charc Electroplax | Rare | 16.68% |
| Goopolla Spleen | Rare | 16.68% |
| Murkray Liver | Rare | 16.68% |
| Sharrac Teeth | Rare | 16.68% |
| Karkina Antenna | Rare | 16.68% |
| Azurite | Rare | 16.68% |
| Devar | Rare | 16.68% |
| Pyrol | Rare | 16.68% |
| Coprite Alloy | Rare | 16.68% |
| Mawfish Bones | Rare | 16.68% |
| Khut-Khut Venom Sac | Rare | 16.68% |
| Yogwun Stomach | Rare | 16.68% |
| Tralok Eyes | Rare | 16.68% |
| Mortus Horn | Rare | 16.68% |
| Maprico | Rare | 16.68% |
| Grokdrul | Rare | 16.68% |
| Iradite | Rare | 16.68% |
| Norg Brain | Rare | 16.68% |
| Cuthol Tendrils | Rare | 16.68% |
| Nistlepod | Rare | 16.68% |
| Crimzian | Rare | 16.68% |
| Auron | Rare | 16.68% |
| Veridos | Rare | 16.68% |
| Ferros | Rare | 16.68% |

## Narmer Coildrive
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Typholyst
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 48.71% |
| Orokin Cell | Rare | 1.29% |

## Breacher Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Striker Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Shield Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Scrofa Armaments Director
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Drover Bursa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Demolition Director
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Strike Director
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Scrofa Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Attack Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Provisor
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Shield Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 10.00% |

## Scrofa Elite Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Syzygy Attack Drone
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Syzygy Light Trencher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Syzygy Shockwave Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Syzygy Denial Bursa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Syzygy Sniper Ranger
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Syzygy Prod Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Legionary
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Research Chief
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Scrofa Laser Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Heavy Trencher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Light Trencher
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Mine Osprey
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Scrofa Railgun Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Grenadier Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Shockwave Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Scrofa Plasmor Crewman
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Sniper Ranger
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Scrofa Decoy Moa
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Scrofa Energy Chief
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 15.00% |

## Pyr Captain
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Glacik Commander
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Lektro Commander
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Blite Captain
| Item | Rarity | Chance |
|---|---|---|
| Region Resource | Common | 7.00% |

## Taro Crewship
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Axio Crewship
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Vorac Crewship
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Orm Crewship
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Taro Basilisk
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Taro Basilisk
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Orm Basilisk
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Orm Basilisk
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Orm Gox
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Orm Harpi
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Orm Harpi
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Orm Weaver
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Orm Weaver
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Taro Gox
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Taro Harpi
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Taro Harpi
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Axio Basilisk
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Axio Basilisk
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Axio Gox
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Axio Harpi
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Axio Harpi
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Axio Weaver
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Axio Weaver
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Taro Weaver
| Item | Rarity | Chance |
|---|---|---|
| Carbides | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Gallos Rods | Uncommon | 16.58% |
| Komms | Rare | 1.51% |

## Taro Weaver
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Elite Vorac Basilisk
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

## Vorac Basilisk
| Item | Rarity | Chance |
|---|---|---|
| Cubic Diodes | Common | 28.45% |
| Ticor Plate | Common | 28.45% |
| Isos | Uncommon | 16.58% |
| Aucrux Capacitors | Rare | 1.51% |

